title,slug,link,match_title,match_year,seen
Strangers on a Train (1951),strangers-on-a-train,https://letterboxd.com/film/strangers-on-a-train/,strangers on a train,1951,True
An American in Paris (1951),an-american-in-paris,https://letterboxd.com/film/an-american-in-paris/,an american in paris,1951,True
The Day the Earth Stood Still (1951),the-day-the-earth-stood-still,https://letterboxd.com/film/the-day-the-earth-stood-still/,the day the earth stood still,1951,True
A Streetcar Named Desire (1951),a-streetcar-named-desire,https://letterboxd.com/film/a-streetcar-named-desire/,a streetcar named desire,1951,True
The African Queen (1951),the-african-queen,https://letterboxd.com/film/the-african-queen/,the african queen,1951,True
Singin' in the Rain (1952),singin-in-the-rain,https://letterboxd.com/film/singin-in-the-rain/,singin' in the rain,1952,True
High Noon (1952),high-noon,https://letterboxd.com/film/high-noon/,high noon,1952,True
Forbidden Games (1952),forbidden-games-1952,https://letterboxd.com/film/forbidden-games-1952/,forbidden games,1952,True
Ikiru (1952),ikiru,https://letterboxd.com/film/ikiru/,ikiru,1952,True
The Naked Spur (1953),the-naked-spur,https://letterboxd.com/film/the-naked-spur/,the naked spur,1953,True
Monsieur Hulot's Holiday (1953),monsieur-hulots-holiday,https://letterboxd.com/film/monsieur-hulots-holiday/,monsieur hulot's holiday,1953,True
The Wages of Fear (1953),the-wages-of-fear,https://letterboxd.com/film/the-wages-of-fear/,the wages of fear,1953,True
Pickup on South Street (1953),pickup-on-south-street,https://letterboxd.com/film/pickup-on-south-street/,pickup on south street,1953,True
From Here to Eternity (1953),from-here-to-eternity,https://letterboxd.com/film/from-here-to-eternity/,from here to eternity,1953,True
The Earrings of Madame de... (1953),the-earrings-of-madame-de,https://letterboxd.com/film/the-earrings-of-madame-de/,the earrings of madame de...,1953,True
The Big Heat (1953),the-big-heat,https://letterboxd.com/film/the-big-heat/,the big heat,1953,True
Tokyo Story (1953),tokyo-story,https://letterboxd.com/film/tokyo-story/,tokyo story,1953,True
Seven Samurai (1954),seven-samurai,https://letterboxd.com/film/seven-samurai/,seven samurai,1954,True
La Strada (1954),la-strada,https://letterboxd.com/film/la-strada/,la strada,1954,True
Silver Lode (1954),silver-lode,https://letterboxd.com/film/silver-lode/,silver lode,1954,True
Rear Window (1954),rear-window,https://letterboxd.com/film/rear-window/,rear window,1954,True
The Barefoot Contessa (1954),the-barefoot-contessa,https://letterboxd.com/film/the-barefoot-contessa/,the barefoot contessa,1954,True
Dial M for Murder (1954),dial-m-for-murder,https://letterboxd.com/film/dial-m-for-murder/,dial m for murder,1954,True
Ordet (1955),ordet,https://letterboxd.com/film/ordet/,ordet,1955,True
Bad Day at Black Rock (1955),bad-day-at-black-rock,https://letterboxd.com/film/bad-day-at-black-rock/,bad day at black rock,1955,True
Diabolique (1955),diabolique-1955,https://letterboxd.com/film/diabolique-1955/,diabolique,1955,True
Kiss Me Deadly (1955),kiss-me-deadly,https://letterboxd.com/film/kiss-me-deadly/,kiss me deadly,1955,True
The Night of the Hunter (1955),the-night-of-the-hunter,https://letterboxd.com/film/the-night-of-the-hunter/,the night of the hunter,1955,True
Rebel Without a Cause (1955),rebel-without-a-cause,https://letterboxd.com/film/rebel-without-a-cause/,rebel without a cause,1955,True
Guys and Dolls (1955),guys-and-dolls,https://letterboxd.com/film/guys-and-dolls/,guys and dolls,1955,True
The Ladykillers (1955),the-ladykillers,https://letterboxd.com/film/the-ladykillers/,the ladykillers,1955,True
The Man with the Golden Arm (1955),the-man-with-the-golden-arm,https://letterboxd.com/film/the-man-with-the-golden-arm/,the man with the golden arm,1955,True
To Catch a Thief (1955),to-catch-a-thief,https://letterboxd.com/film/to-catch-a-thief/,to catch a thief,1955,True
Invasion of the Body Snatchers (1956),invasion-of-the-body-snatchers,https://letterboxd.com/film/invasion-of-the-body-snatchers/,invasion of the body snatchers,1956,True
The Searchers (1956),the-searchers,https://letterboxd.com/film/the-searchers/,the searchers,1956,True
Night and Fog (1956),night-and-fog,https://letterboxd.com/film/night-and-fog/,night and fog,1956,True
