title,slug,link
Mutiny on the Bounty (1935),mutiny-on-the-bounty,https://letterboxd.com/film/mutiny-on-the-bounty/
Captain Blood (1935),captain-blood,https://letterboxd.com/film/captain-blood/
Modern Times (1936),modern-times,https://letterboxd.com/film/modern-times/
Things to Come (1936),things-to-come,https://letterboxd.com/film/things-to-come/
Mr. Deeds Goes to Town (1936),mr-deeds-goes-to-town,https://letterboxd.com/film/mr-deeds-goes-to-town/
Swing Time (1936),swing-time,https://letterboxd.com/film/swing-time/
My Man Godfrey (1936),my-man-godfrey,https://letterboxd.com/film/my-man-godfrey/
Dodsworth (1936),dodsworth,https://letterboxd.com/film/dodsworth/
The Story of a Cheat (1936),the-story-of-a-cheat,https://letterboxd.com/film/the-story-of-a-cheat/
Sabotage (1936),sabotage,https://letterboxd.com/film/sabotage/
Camille (1936),camille-1936,https://letterboxd.com/film/camille-1936/
Song at Midnight (1937),song-at-midnight,https://letterboxd.com/film/song-at-midnight/
Pépé le Moko (1937),pepe-le-moko,https://letterboxd.com/film/pepe-le-moko/
Make Way for Tomorrow (1937),make-way-for-tomorrow,https://letterboxd.com/film/make-way-for-tomorrow/
Captains Courageous (1937),captains-courageous,https://letterboxd.com/film/captains-courageous/
Grand Illusion (1937),grand-illusion,https://letterboxd.com/film/grand-illusion/
Stella Dallas (1937),stella-dallas,https://letterboxd.com/film/stella-dallas/
The Life of Emile Zola (1937),the-life-of-emile-zola,https://letterboxd.com/film/the-life-of-emile-zola/
The Awful Truth (1937),the-awful-truth,https://letterboxd.com/film/the-awful-truth/
Snow White and the Seven Dwarfs (1937),snow-white-and-the-seven-dwarfs,https://letterboxd.com/film/snow-white-and-the-seven-dwarfs/
Olympia Part One: Festival of the Nations (1938),olympia-part-one-festival-of-the-nations,https://letterboxd.com/film/olympia-part-one-festival-of-the-nations/
Bringing Up Baby (1938),bringing-up-baby,https://letterboxd.com/film/bringing-up-baby/
Jezebel (1938),jezebel,https://letterboxd.com/film/jezebel/
Olympia Part Two: Festival of Beauty (1938),olympia-part-two-festival-of-beauty,https://letterboxd.com/film/olympia-part-two-festival-of-beauty/
The Adventures of Robin Hood (1938),the-adventures-of-robin-hood,https://letterboxd.com/film/the-adventures-of-robin-hood/
The Lady Vanishes (1938),the-lady-vanishes,https://letterboxd.com/film/the-lady-vanishes/
The Baker's Wife (1938),the-bakers-wife,https://letterboxd.com/film/the-bakers-wife/
Angels with Dirty Faces (1938),angels-with-dirty-faces,https://letterboxd.com/film/angels-with-dirty-faces/
Gunga Din (1939),gunga-din,https://letterboxd.com/film/gunga-din/
Stagecoach (1939),stagecoach,https://letterboxd.com/film/stagecoach/
Wuthering Heights (1939),wuthering-heights,https://letterboxd.com/film/wuthering-heights/
Only Angels Have Wings (1939),only-angels-have-wings,https://letterboxd.com/film/only-angels-have-wings/
The Rules of the Game (1939),the-rules-of-the-game,https://letterboxd.com/film/the-rules-of-the-game/
Daybreak (1939),daybreak-1939,https://letterboxd.com/film/daybreak-1939/
The Wizard of Oz (1939),the-wizard-of-oz-1939,https://letterboxd.com/film/the-wizard-of-oz-1939/
Babes in Arms (1939),babes-in-arms,https://letterboxd.com/film/babes-in-arms/
The Story of the Last Chrysanthemum (1939),the-story-of-the-last-chrysanthemum,https://letterboxd.com/film/the-story-of-the-last-chrysanthemum/
Mr. Smith Goes to Washington (1939),mr-smith-goes-to-washington,https://letterboxd.com/film/mr-smith-goes-to-washington/
Ninotchka (1939),ninotchka,https://letterboxd.com/film/ninotchka/
Destry Rides Again (1939),destry-rides-again,https://letterboxd.com/film/destry-rides-again/
Gone with the Wind (1939),gone-with-the-wind,https://letterboxd.com/film/gone-with-the-wind/
His Girl Friday (1940),his-girl-friday,https://letterboxd.com/film/his-girl-friday/
Pinocchio (1940),pinocchio,https://letterboxd.com/film/pinocchio/
The Grapes of Wrath (1940),the-grapes-of-wrath,https://letterboxd.com/film/the-grapes-of-wrath/
Rebecca (1940),rebecca,https://letterboxd.com/film/rebecca/
The Mortal Storm (1940),the-mortal-storm,https://letterboxd.com/film/the-mortal-storm/
"Dance, Girl, Dance (1940)",dance-girl-dance,https://letterboxd.com/film/dance-girl-dance/
Fantasia (1940),fantasia,https://letterboxd.com/film/fantasia/
The Bank Dick (1940),the-bank-dick,https://letterboxd.com/film/the-bank-dick/
The Great Dictator (1940),the-great-dictator,https://letterboxd.com/film/the-great-dictator/
