title,slug,link,match_title,match_year,seen
The Big Sky (1952),the-big-sky,https://letterboxd.com/film/the-big-sky/,the big sky,1952,False
Europa '51 (1952),europa-51,https://letterboxd.com/film/europa-51/,europa '51,1952,False
The Golden Coach (1952),the-golden-coach,https://letterboxd.com/film/the-golden-coach/,the golden coach,1952,False
The Bad and the Beautiful (1952),the-bad-and-the-beautiful,https://letterboxd.com/film/the-bad-and-the-beautiful/,the bad and the beautiful,1952,False
Limelight (1952),limelight,https://letterboxd.com/film/limelight/,limelight,1952,False
Angel Face (1952),angel-face,https://letterboxd.com/film/angel-face/,angel face,1952,False
Summer with Monika (1953),summer-with-monika,https://letterboxd.com/film/summer-with-monika/,summer with monika,1953,False
Ugetsu (1953),ugetsu,https://letterboxd.com/film/ugetsu/,ugetsu,1953,False
Shane (1953),shane,https://letterboxd.com/film/shane/,shane,1953,False
Gentlemen Prefer Blondes (1953),gentlemen-prefer-blondes,https://letterboxd.com/film/gentlemen-prefer-blondes/,gentlemen prefer blondes,1953,False
The Band Wagon (1953),the-band-wagon,https://letterboxd.com/film/the-band-wagon/,the band wagon,1953,False
Roman Holiday (1953),roman-holiday,https://letterboxd.com/film/roman-holiday/,roman holiday,1953,False
Beat the Devil (1953),beat-the-devil,https://letterboxd.com/film/beat-the-devil/,beat the devil,1953,False
The Bigamist (1953),the-bigamist,https://letterboxd.com/film/the-bigamist/,the bigamist,1953,False
Salt of the Earth (1954),salt-of-the-earth,https://letterboxd.com/film/salt-of-the-earth/,salt of the earth,1954,False
Sansho the Bailiff (1954),sansho-the-bailiff,https://letterboxd.com/film/sansho-the-bailiff/,sansho the bailiff,1954,False
Johnny Guitar (1954),johnny-guitar,https://letterboxd.com/film/johnny-guitar/,johnny guitar,1954,False
On the Waterfront (1954),on-the-waterfront,https://letterboxd.com/film/on-the-waterfront/,on the waterfront,1954,False
Seven Brides for Seven Brothers (1954),seven-brides-for-seven-brothers,https://letterboxd.com/film/seven-brides-for-seven-brothers/,seven brides for seven brothers,1954,False
Senso (1954),senso,https://letterboxd.com/film/senso/,senso,1954,False
Journey to Italy (1954),journey-to-italy,https://letterboxd.com/film/journey-to-italy/,journey to italy,1954,False
A Star Is Born (1954),a-star-is-born-1954,https://letterboxd.com/film/a-star-is-born-1954/,a star is born,1954,False
Carmen Jones (1954),carmen-jones,https://letterboxd.com/film/carmen-jones/,carmen jones,1954,False
Animal Farm (1954),animal-farm,https://letterboxd.com/film/animal-farm/,animal farm,1954,False
Marty (1955),marty,https://letterboxd.com/film/marty/,marty,1955,False
The Man from Laramie (1955),the-man-from-laramie,https://letterboxd.com/film/the-man-from-laramie/,the man from laramie,1955,False
The Phenix City Story (1955),the-phenix-city-story,https://letterboxd.com/film/the-phenix-city-story/,the phenix city story,1955,False
The Mad Masters (1955),the-mad-masters,https://letterboxd.com/film/the-mad-masters/,the mad masters,1955,False
All That Heaven Allows (1955),all-that-heaven-allows,https://letterboxd.com/film/all-that-heaven-allows/,all that heaven allows,1955,False
Pather Panchali (1955),pather-panchali,https://letterboxd.com/film/pather-panchali/,pather panchali,1955,False
Oklahoma! (1955),oklahoma,https://letterboxd.com/film/oklahoma/,oklahoma!,1955,False
Hill 24 Doesn't Answer (1955),hill-24-doesnt-answer,https://letterboxd.com/film/hill-24-doesnt-answer/,hill 24 doesn't answer,1955,False
Artists and Models (1955),artists-and-models,https://letterboxd.com/film/artists-and-models/,artists and models,1955,False
Lola Montès (1955),lola-montes,https://letterboxd.com/film/lola-montes/,lola montès,1955,False
Smiles of a Summer Night (1955),smiles-of-a-summer-night,https://letterboxd.com/film/smiles-of-a-summer-night/,smiles of a summer night,1955,False
The Burmese Harp (1956),the-burmese-harp,https://letterboxd.com/film/the-burmese-harp/,the burmese harp,1956,False
Forbidden Planet (1956),forbidden-planet,https://letterboxd.com/film/forbidden-planet/,forbidden planet,1956,False
The Man Who Knew Too Much (1956),the-man-who-knew-too-much-1956,https://letterboxd.com/film/the-man-who-knew-too-much-1956/,the man who knew too much,1956,False
High Society (1956),high-society,https://letterboxd.com/film/high-society/,high society,1956,False
Bigger Than Life (1956),bigger-than-life,https://letterboxd.com/film/bigger-than-life/,bigger than life,1956,False
Written on the Wind (1956),written-on-the-wind,https://letterboxd.com/film/written-on-the-wind/,written on the wind,1956,False
Giant (1956),giant,https://letterboxd.com/film/giant/,giant,1956,False
Aparajito (1956),aparajito,https://letterboxd.com/film/aparajito/,aparajito,1956,False
A Man Escaped (1956),a-man-escaped,https://letterboxd.com/film/a-man-escaped/,a man escaped,1956,False
Throne of Blood (1957),throne-of-blood,https://letterboxd.com/film/throne-of-blood/,throne of blood,1957,False
Mother India (1957),mother-india,https://letterboxd.com/film/mother-india/,mother india,1957,False
Nights of Cabiria (1957),nights-of-cabiria,https://letterboxd.com/film/nights-of-cabiria/,nights of cabiria,1957,False
The Cranes Are Flying (1957),the-cranes-are-flying,https://letterboxd.com/film/the-cranes-are-flying/,the cranes are flying,1957,False
Wild Strawberries (1957),wild-strawberries,https://letterboxd.com/film/wild-strawberries/,wild strawberries,1957,False
Gigi (1958),gigi,https://letterboxd.com/film/gigi/,gigi,1958,False
Cairo Station (1958),cairo-station,https://letterboxd.com/film/cairo-station/,cairo station,1958,False
